school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"Harvard University",harvard-university,0.05,Cambridge,MA,0.98,2,1,1,1515,34,25000,9000,52000,harvard.edu
"Stanford University",stanford-university,0.05,Stanford,CA,0.95,1,10,2,1505,33,15000,8000,54000,stanford.edu
"Columbia University",columbia-university,0.07,"New York",NY,0.96,6,3,3,1505,34,28000,9000,61000,columbia.edu
"Yale University",yale-university,0.07,"New Haven",CT,0.96,4,5,4,1515,34,16000,8000,56000,yale.edu
"Massachusetts Institute of Technology",massachusetts-institute-of-technology,0.07,Cambridge,MA,0.96,3,9,5,1540,35,14000,5000,54000,mit.edu
"University of California, Berkeley","university-of-california,-berkeley",0.17,Berkeley,CA,0.92,29,6,6,1430,33,42000,32000,14000,berkeley.edu
"Princeton University",princeton-university,0.06,Princeton,NJ,0.98,5,11,7,1515,34,7000,6000,53000,princeton.edu
"University of Chicago",university-of-chicago,0.07,Chicago,IL,0.96,8,7,8,1535,34,13000,5000,59000,uchicago.edu
"University of Michigan",university-of-michigan,0.26,"Ann Arbor",MI,0.93,37,12,9,1435,32,43000,30000,17000,umich.edu
"New York University",new-york-university,0.21,"New York",NY,0.88,44,17,10,1440,32,48000,29000,53000,nyu.edu
"University of Pennsylvania",university-of-pennsylvania,0.09,Philadelphia,PA,0.96,10,16,11,1505,34,28000,15000,58000,upenn.edu
"Cornell University",cornell-university,0.11,Ithaca,NY,0.95,14,15,12,1480,33,25000,16000,57000,cornell.edu
"University of California, Los Angeles","university-of-california,-los-angeles",0.14,"Los Angeles",CA,0.91,31,20,13,1415,32,44000,32000,13000,ucla.edu
"Duke University",duke-university,0.08,Durham,NC,0.96,12,28,14,1525,34,15000,8000,58000,duke.edu
"Johns Hopkins University",johns-hopkins-university,0.11,Baltimore,MD,0.94,21,21,15,1510,34,25000,7000,55000,jh.edu
"University of Southern California",university-of-southern-california,0.16,"Los Angeles",CA,0.92,30,31,16,1445,32,40000,22000,58000,usc.edu
"Georgetown University",georgetown-university,0.17,Washington,DC,0.94,19,38,17,1465,33,14000,7000,56000,georgetown.edu
"University of Washington",university-of-washington,0.56,Seattle,WA,0.82,69,27,18,1345,30,47000,35000,11000,uw.edu
"University of Texas at Austin",university-of-texas-at-austin,0.32,Austin,TX,0.88,43,32,19,1355,30,45000,37000,11000,utexas.edu
"Northwestern University",northwestern-university,0.09,Evanston,IL,0.95,24,30,20,1495,34,19000,8000,57000,northwestern.edu
"Brown University",brown-university,0.08,Providence,RI,0.95,7,33,21,1505,34,10000,7000,58000,brown.edu
"Carnegie Mellon University",carnegie-mellon-university,0.17,Pittsburgh,PA,0.93,35,35,22,1510,34,16000,7000,57000,cmu.edu
"University of Minnesota",university-of-minnesota,0.7,Minneapolis,MN,0.84,890,26,23,1370,28,44000,35000,15000,umn.edu
"University of Wisconsin–Madison","university-of-wisconsin–madison",0.57,Madison,WI,0.88,216,24,24,1390,29,36000,30000,11000,wisc.edu
"California Institute of Technology",california-institute-of-technology,0.07,Pasadena,CA,0.92,9,29,25,1545,35,2000,1000,55000,caltech.edu
"University of Virginia",university-of-virginia,0.23,Charlottesville,VA,0.94,40,36,26,1430,32,25000,17000,18000,virginia.edu
"University of California, San Diego","university-of-california,-san-diego",0.37,"La Jolla",CA,0.87,71,51,27,1370,30,38000,31000,14000,ucsd.edu
"Boston University",boston-university,0.2,Boston,MA,0.89,56,46,28,1425,32,33000,22000,56000,bu.edu
"Rutgers University",rutgers-university,,,,,,48,29,,,,,,rutgers.edu
"University of Illinois Urbana-Champaign",university-of-illinois-urbana-champaign,0.63,Champaign,IL,0.86,162,50,30,1340,29,52000,35000,17000,illinois.edu
"Indiana University Bloomington",indiana-university-bloomington,0.8,Bloomington,IN,0.8,875,53,31,1255,27,40000,33000,11000,indiana.edu
"University of Pittsburgh",university-of-pittsburgh,0.64,Pittsburgh,PA,0.84,987,58,32,1350,30,27000,20000,20000,pitt.edu
"University of Florida",university-of-florida,0.31,Gainesville,FL,0.89,45,65,33,1390,30,46000,35000,6000,ufl.edu
"University of North Carolina at Chapel Hill",university-of-north-carolina-at-chapel-hill,0.25,"Chapel Hill",NC,0.91,38,63,34,1405,30,25000,19000,9000,unc.edu
"University of Maryland, College Park","university-of-maryland,-college-park",0.51,"College Park",MD,0.87,214,75,35,1375,31,35000,29000,11000,umd.edu
"Ohio State University",ohio-state-university,0.68,Columbus,OH,0.87,77,56,36,1355,30,56000,46000,11000,osu.edu
"Purdue University",purdue-university,0.67,"West Lafayette",IN,0.83,1204,64,37,1315,28,42000,34000,10000,purdue.edu
"Pennsylvania State University",pennsylvania-state-university,0.76,"University Park",PA,0.69,,77,38,1190,26,47000,43000,18000,psu.edu
"Dartmouth College",dartmouth-college,0.09,Hanover,NH,0.95,11,60,39,1500,33,6000,5000,57000,dartmouth.edu
"Washington University in St. Louis",washington-university-in-st.-louis,0.16,"Saint Louis",MO,0.94,20,67,40,1520,34,13000,7000,55000,wustl.edu
"University of Arizona",university-of-arizona,0.85,Tucson,AZ,0.65,605,85,41,1235,25,39000,33000,12000,arizona.edu
"George Washington University",george-washington-university,0.43,Washington,DC,0.85,76,72,42,1375,31,21000,12000,55000,gwu.edu
"Tufts University",tufts-university,0.16,Medford,MA,0.94,25,88,43,1465,33,10000,6000,59000,tufts.edu
"Michigan State University",michigan-state-university,0.76,"East Lansing",MI,0.81,1461,94,44,1210,26,43000,38000,16000,msu.edu
"University of Utah",university-of-utah,0.79,"Salt Lake City",UT,0.67,1235,80,45,1261,25,28000,22000,9000,utah.edu
"Syracuse University",syracuse-university,0.69,Syracuse,NY,0.83,1450,81,46,1280,28,23000,18000,52000,syr.edu
"University of Rochester",university-of-rochester,0.35,Rochester,NY,0.86,61,82,47,1405,32,11000,7000,56000,rochester.edu
"University of Notre Dame",university-of-notre-dame,0.19,"Notre Dame",IN,0.97,23,84,48,1475,33,13000,10000,56000,nd.edu
"Emory University",emory-university,0.19,Atlanta,GA,0.9,41,106,49,1445,32,13000,8000,54000,emory.edu
"University of Iowa",university-of-iowa,0.84,"Iowa City",IA,0.72,369,74,50,1235,25,27000,23000,10000,uiowa.edu
"University of California, Santa Barbara","university-of-california,-santa-barbara",0.37,"Santa Barbara",CA,0.84,100,103,102,1355,30,26000,23000,14000,ucsb.edu
"Brandeis University",brandeis-university,0.33,Waltham,MA,0.89,167,92,104,1435,31,7000,4000,57000,brandeis.edu
"Arizona State University",arizona-state-university,0.88,Tempe,AZ,0.66,1312,138,106,1240,25,51000,44000,11000,asu.edu
"University of California, Davis","university-of-california,-davis",0.46,Davis,CA,0.86,163,129,108,1290,28,36000,30000,14000,ucdavis.edu
"Vanderbilt University",vanderbilt-university,0.12,Nashville,TN,0.93,16,96,110,1510,34,11000,7000,52000,vanderbilt.edu
"University of California, Irvine","university-of-california,-irvine",0.3,Irvine,CA,0.85,87,114,112,1295,28,37000,31000,14000,uci.edu
"City University of New York",city-university-of-new-york,,,,,,101,114,,,,,,cuny.edu
"University of Colorado",university-of-colorado,,,,,,121,116,,,,,,
"University of California, San Francisco","university-of-california,-san-francisco",,"San Francisco",CA,,,136,118,,,1000,,,ucsf.edu
"Wesleyan University",wesleyan-university,0.21,Middletown,CT,0.91,34,104,120,,,4000,3000,57000,wesleyan.edu
"Rice University",rice-university,0.11,Houston,TX,0.94,15,115,122,1520,34,8000,4000,49000,rice.edu
"University of Miami",university-of-miami,0.33,"Coral Gables",FL,0.83,106,137,124,1355,30,15000,11000,52000,miami.edu
"Texas A&M University",texas-a&m-university,0.63,"College Station",TX,0.83,91,134,126,1275,28,58000,48000,11000,tamu.edu
"University of Massachusetts Amherst",university-of-massachusetts-amherst,0.65,Amherst,MA,0.83,953,141,128,1290,29,28000,24000,16000,umass.edu
"Brigham Young University",brigham-young-university,0.69,Provo,UT,0.75,102,147,130,1315,28,33000,31000,6000,byu.edu
"American University",american-university,0.39,Washington,DC,0.79,113,177,132,1300,29,12000,8000,50000,american.edu
"Case Western Reserve University",case-western-reserve-university,0.3,Cleveland,OH,0.85,110,109,134,1425,32,9000,5000,51000,case.edu
"University of Missouri",university-of-missouri,0.82,Columbia,MO,0.73,1169,98,136,1230,26,25000,21000,10000,missouri.edu
"University of Georgia",university-of-georgia,0.48,Athens,GA,0.87,58,122,138,1330,29,38000,29000,12000,uga.edu
"Georgia Tech",georgia-tech,0.21,Atlanta,GA,0.91,39,159,140,1405,31,30000,15000,13000,gatech.edu
"Temple University",temple-university,0.71,Philadelphia,PA,0.75,1402,131,142,,,33000,28000,17000,temple.edu
"Stony Brook University",stony-brook-university,0.49,"Stony Brook",NY,0.76,1211,173,144,1335,29,24000,18000,10000,stonybrook.edu
"Florida State University",florida-state-university,0.32,Tallahassee,FL,0.84,174,155,146,1270,28,39000,32000,7000,fsu.edu
"University of Oregon",university-of-oregon,0.84,Eugene,OR,0.74,547,127,148,1205,25,22000,19000,13000,uoregon.edu
"City College of New York",city-college-of-new-york,0.51,"New York",NY,0.6,,59,150,,,13000,11000,7000,cuny.edu
"Yeshiva University",yeshiva-university,0.67,"New York",NY,0.77,136,148,152,1270,27,4000,3000,45000,yu.edu
"George Mason University",george-mason-university,0.89,Fairfax,VA,0.72,548,208,154,1215,27,31000,24000,13000,gmu.edu
"University of Kansas",university-of-kansas,0.91,Lawrence,KS,0.63,620,125,156,,,23000,19000,11000,ku.edu
"Tulane University",tulane-university,0.11,"New Orleans",LA,0.86,107,143,158,1440,32,12000,9000,57000,tulane.edu
"University of Cincinnati",university-of-cincinnati,0.76,Cincinnati,OH,0.73,1179,152,160,1235,26,33000,25000,11000,uc.edu
"University of Houston",university-of-houston,0.63,Houston,TX,0.62,1064,188,162,1225,24,37000,33000,9000,uh.edu
"Fordham University",fordham-university,0.53,Bronx,NY,0.83,66,169,164,1345,30,15000,10000,54000,fordham.edu
"University of California, Santa Cruz","university-of-california,-santa-cruz",0.65,"Santa Cruz",CA,0.76,734,144,166,1290,29,20000,18000,14000,ucsc.edu
"Boston College",boston-college,0.26,"Chestnut Hill",MA,0.92,49,197,168,1420,32,13000,10000,58000,bc.edu
"Massachusetts General Hospital",massachusetts-general-hospital,,,,,,216,170,,,,,,
"Swarthmore College",swarthmore-college,0.09,Swarthmore,PA,0.97,22,142,172,1460,33,2000,2000,55000,swarthmore.edu
"Wayne State University",wayne-state-university,0.69,Detroit,MI,0.52,842,150,174,1120,24,20000,15000,15000,wayne.edu
"Amherst College",amherst-college,0.12,Amherst,MA,0.95,26,112,176,1415,32,2000,2000,59000,amherst.edu
"University at Buffalo",university-at-buffalo,0.67,Buffalo,NY,0.75,1348,176,178,1250,26,28000,23000,11000,buffalo.edu
"Louisiana State University",louisiana-state-university,0.73,"Baton Rouge",LA,0.7,1396,183,180,1195,26,27000,23000,12000,lsu.edu
"Reed College",reed-college,0.42,Portland,OR,0.77,79,174,182,1422,32,1000,1000,58000,reed.edu
"University of Connecticut",university-of-connecticut,0.56,Storrs,CT,0.83,1460,207,184,1305,29,24000,19000,17000,uconn.edu
"Virginia Tech",virginia-tech,0.66,Blacksburg,VA,0.86,230,231,186,1285,28,35000,29000,14000,vt.edu
"University of Colorado Boulder",university-of-colorado-boulder,0.84,Boulder,CO,0.72,,195,188,1250,28,33000,29000,13000,colorado.edu
"University of Kentucky",university-of-kentucky,0.96,Lexington,KY,0.66,541,193,190,1195,25,24000,21000,12000,uky.edu
"University of Alabama",university-of-alabama,0.8,Tuscaloosa,AL,0.72,94,184,192,1210,27,36000,32000,11000,ua.edu
"University of Tennessee",university-of-tennessee,0.78,Knoxville,TN,0.71,1285,215,194,1240,27,27000,22000,13000,utk.edu
"University of Oklahoma",university-of-oklahoma,0.83,Norman,OK,0.72,1309,189,196,1210,26,24000,20000,9000,ou.edu
"Iowa State University",iowa-state-university,0.88,Ames,IA,0.75,1077,172,198,1220,25,32000,29000,9000,iastate.edu
"University of Illinois at Chicago",university-of-illinois-at-chicago,0.73,Chicago,IL,0.63,795,196,200,1145,24,27000,20000,15000,uic.edu
"University of New Mexico",university-of-new-mexico,0.96,Albuquerque,NM,0.54,1170,204,303,1130,22,19000,15000,8000,unm.edu
"Barnard College",barnard-college,0.14,"New York",NY,0.9,65,190,306,1430,32,3000,3000,58000,barnard.edu
"Oberlin College",oberlin-college,0.35,Oberlin,OH,0.86,114,119,309,1380,31,3000,3000,57000,oberlin.edu
"The New School",the-new-school,0.69,"New York",NY,0.69,1438,132,312,1265,27,10000,7000,51000,newschool.edu
"Brooklyn College",brooklyn-college,0.5,Brooklyn,NY,0.54,1381,146,315,,,15000,13000,7000,cuny.edu
"Howard University",howard-university,0.39,Washington,DC,0.64,220,135,318,1205,24,8000,6000,27000,howard.edu
